Time [s],Channel 0
50.416000000,0.683
50.420000000,0.681
50.424000000,0.683
50.428000000,0.681
50.432000000,0.683
50.436000000,0.683
50.440000000,0.683
50.444000000,0.683
50.448000000,0.681
50.452000000,0.681
50.456000000,0.683
50.460000000,0.681
50.464000000,0.681
50.468000000,0.683
50.472000000,0.681
50.476000000,0.683
50.480000000,0.681
50.484000000,0.683
50.488000000,0.681
50.492000000,0.683
50.496000000,0.683
50.500000000,0.681
50.504000000,0.681
50.508000000,0.683
50.512000000,0.681
50.516000000,0.683
50.520000000,0.681
50.524000000,0.681
50.528000000,0.683
50.532000000,0.681
50.536000000,0.683
50.540000000,0.683
50.544000000,0.683
50.548000000,0.681
50.552000000,0.681
50.556000000,0.683
50.560000000,0.683
50.564000000,0.681
50.568000000,0.681
50.572000000,0.683
50.576000000,0.683
50.580000000,0.681
50.584000000,0.681
50.588000000,0.683
50.592000000,0.681
50.596000000,0.681
50.600000000,0.681
50.604000000,0.683
50.608000000,0.683
50.612000000,0.683
50.616000000,0.683
50.620000000,0.683
50.624000000,0.683
50.628000000,0.683
50.632000000,0.683
50.636000000,0.683
50.640000000,0.683
50.644000000,0.683
50.648000000,0.681
50.652000000,0.681
50.656000000,0.681
50.660000000,0.681
50.664000000,0.681
50.668000000,0.681
50.672000000,0.683
50.676000000,0.683
50.680000000,0.683
50.684000000,0.683
50.688000000,0.681
50.692000000,0.683
50.696000000,0.683
50.700000000,0.681
50.704000000,0.681
50.708000000,0.683
50.712000000,0.683
50.716000000,0.683
50.720000000,0.683
50.724000000,0.683
50.728000000,0.681
50.732000000,0.683
50.736000000,0.681
50.740000000,0.681
50.744000000,0.683
50.748000000,0.681
50.752000000,0.683
50.756000000,0.681
50.760000000,0.683
50.764000000,0.683
50.768000000,0.681
50.772000000,0.681
50.776000000,0.683
50.780000000,0.681
50.784000000,0.683
50.788000000,0.683
50.792000000,0.681
50.796000000,0.683
50.800000000,0.683
50.804000000,0.683
50.808000000,0.683
50.812000000,0.681
50.816000000,0.681
50.820000000,0.681
50.824000000,0.681
50.828000000,0.681
50.832000000,0.681
50.836000000,0.683
50.840000000,0.681
50.844000000,0.683
50.848000000,0.681
50.852000000,0.681
50.856000000,0.683
50.860000000,0.681
50.864000000,0.683
50.868000000,0.683
50.872000000,0.681
50.876000000,0.683
50.880000000,0.681
50.884000000,0.681
50.888000000,0.681
50.892000000,0.681
50.896000000,0.681
50.900000000,0.683
50.904000000,0.683
50.908000000,0.681
50.912000000,0.683
50.916000000,0.681
50.920000000,0.681
50.924000000,0.683
50.928000000,0.683
50.932000000,0.683
50.936000000,0.681
50.940000000,0.681
50.944000000,0.681
50.948000000,0.681
50.952000000,0.681
50.956000000,0.681
50.960000000,0.681
50.964000000,0.683
50.968000000,0.683
50.972000000,0.683
50.976000000,0.683
50.980000000,0.683
50.984000000,0.681
50.988000000,0.683
50.992000000,0.683
50.996000000,0.683
51.000000000,0.681
51.004000000,0.683
51.008000000,0.683
51.012000000,0.681
51.016000000,0.683
51.020000000,0.683
51.024000000,0.683
51.028000000,0.683
51.032000000,0.681
51.036000000,0.683
51.040000000,0.681
51.044000000,0.683
51.048000000,0.681
51.052000000,0.683
51.056000000,0.683
51.060000000,0.683
51.064000000,0.683
51.068000000,0.683
51.072000000,0.681
51.076000000,0.683
51.080000000,0.683
51.084000000,0.683
51.088000000,0.681
51.092000000,0.681
51.096000000,0.683
51.100000000,0.683
51.104000000,0.683
51.108000000,0.683
51.112000000,0.681
51.116000000,0.683
51.120000000,0.683
51.124000000,0.683
